Title,Rank,Studio,Worldwide,Domestic / %,Domestic / %,Overseas / %,Overseas / %,Year^
Pirates of the Caribbean: On Stranger Tides,35,BV,"$1,045.7",$241.1,23.1%,$804.6,76.9%,2011
Despicable Me 3,36,Uni.,"$1,034.8",$264.6,25.6%,$770.2,74.4%,2017
Jurassic Park,37,Uni.,"$1,029.5",$402.8,39.1%,$626.7,60.9%,1993^
Finding Dory,38,BV,"$1,028.6",$486.3,47.3%,$542.3,52.7%,2016
Star Wars: Episode I - The Phantom Menace,39,Fox,"$1,027.0",$474.5,46.2%,$552.5,53.8%,1999^
Alice in Wonderland (2010),40,BV,"$1,025.5",$334.2,32.6%,$691.3,67.4%,2010
Zootopia,41,BV,"$1,023.8",$341.3,33.3%,$682.5,66.7%,2016
The Hobbit: An Unexpected Journey,42,WB (NL),"$1,021.1",$303.0,29.7%,$718.1,70.3%,2012
The Dark Knight,43,WB,"$1,004.9",$535.2,53.3%,$469.7,46.7%,2008^
Harry Potter and the Sorcerer's Stone,44,WB,$975.1,$317.9,32.6%,$657.2,67.4%,2001^
Despicable Me 2,45,Uni.,$970.8,$368.1,37.9%,$602.7,62.1%,2013
The Lion King,46,BV,$968.5,$422.8,43.7%,$545.7,56.3%,1994^
The Jungle Book (2016),47,BV,$966.6,$364.0,37.7%,$602.5,62.3%,2016
Pirates of the Caribbean: At World's End,48,BV,$963.4,$309.4,32.1%,$654.0,67.9%,2007
Jumanji: Welcome to the Jungle,49,Sony,$962.1,$404.6,42.0%,$557.6,58.0%,2017^
Harry Potter and the Deathly Hallows Part 1,50,WB,$961.0,$296.1,30.8%,$664.8,69.2%,2010^
The Hobbit: The Desolation of Smaug,51,WB (NL),$958.4,$258.4,27.0%,$700.0,73.0%,2013
The Hobbit: The Battle of the Five Armies,52,WB (NL),$956.0,$255.1,26.7%,$700.9,73.3%,2014
Finding Nemo,53,BV,$940.3,$380.8,40.5%,$559.5,59.5%,2003^
Harry Potter and the Order of the Phoenix,54,WB,$940.0,$292.1,31.1%,$647.9,68.9%,2007^
Harry Potter and the Half-Blood Prince,55,WB,$934.5,$302.1,32.3%,$632.5,67.7%,2009^
The Lord of the Rings: The Two Towers,56,NL,$926.0,$342.6,37.0%,$583.5,63.0%,2002^
Shrek 2,57,DW,$919.8,$441.2,48.0%,$478.6,52.0%,2004
Bohemian Rhapsody,58,Fox,$903.7,$216.4,24.0%,$687.2,76.0%,2018
Harry Potter and the Goblet of Fire,59,WB,$897.1,$290.2,32.3%,$606.9,67.7%,2005^
Spider-Man 3,60,Sony,$890.9,$336.5,37.8%,$554.3,62.2%,2007
Ice Age: Dawn of the Dinosaurs,61,Fox,$888.8,$196.6,22.1%,$692.2,77.9%,2009
Spectre,62,Sony,$880.7,$200.1,22.7%,$680.6,77.3%,2015
Spider-Man: Homecoming,63,Sony,$880.2,$334.2,38.0%,$546.0,62.0%,2017
Harry Potter and the Chamber of Secrets,64,WB,$879.2,$262.2,29.8%,$617.0,70.2%,2002^
Ice Age: Continental Drift,65,Fox,$877.2,$161.3,18.4%,$715.9,81.6%,2012
The Secret Life of Pets,66,Uni.,$875.5,$368.4,42.1%,$507.1,57.9%,2016
Batman v Superman: Dawn of Justice,67,WB,$873.6,$330.4,37.8%,$543.3,62.2%,2016
The Lord of the Rings: The Fellowship of the Ring,68,NL,$871.5,$315.5,36.2%,$556.0,63.8%,2001^
Wolf Warrior 2,69,HC,$870.3,$2.7,0.3%,$867.6,99.7%,2017
The Hunger Games: Catching Fire,70,LGF,$865.0,$424.7,49.1%,$440.3,50.9%,2013
Guardians of the Galaxy Vol. 2,71,BV,$863.8,$389.8,45.1%,$473.9,54.9%,2017
Inside Out,72,BV,$857.6,$356.5,41.6%,$501.1,58.4%,2015
Venom (2018),73,Sony,$856.1,$213.5,24.9%,$642.6,75.1%,2018
Thor: Ragnarok,74,BV,$854.0,$315.1,36.9%,$538.9,63.1%,2017
Star Wars: Episode III - Revenge of the Sith,75,Fox,$848.8,$380.3,44.8%,$468.5,55.2%,2005^
Transformers: Revenge of the Fallen,76,P/DW,$836.3,$402.1,48.1%,$434.2,51.9%,2009
The Twilight Saga: Breaking Dawn Part 2,77,LG/S,$829.7,$292.3,35.2%,$537.4,64.8%,2012
Inception,78,WB,$828.3,$292.6,35.3%,$535.7,64.7%,2010
Wonder Woman,79,WB,$821.8,$412.6,50.2%,$409.3,49.8%,2017
Spider-Man,80,Sony,$821.7,$403.7,49.1%,$418.0,50.9%,2002
Independence Day,81,Fox,$817.4,$306.2,37.5%,$511.2,62.5%,1996^
Fantastic Beasts and Where To Find Them,82,WB,$814.0,$234.0,28.8%,$580.0,71.2%,2016
Coco,83,BV,$807.1,$209.7,26.0%,$597.4,74.0%,2017
Shrek the Third,84,P/DW,$799.0,$322.7,40.4%,$476.2,59.6%,2007
Harry Potter and the Prisoner of Azkaban,85,WB,$796.9,$249.8,31.3%,$547.1,68.7%,2004^
Pirates of the Caribbean: Dead Men Tell No Tales,86,BV,$794.9,$172.6,21.7%,$622.3,78.3%,2017
E.T.: The Extra-Terrestrial,87,Uni.,$792.9,$435.1,54.9%,$357.8,45.1%,1982^
Mission: Impossible - Fallout,88,Par.,$791.1,$220.2,27.8%,$571.0,72.2%,2018
Fast & Furious 6,89,Uni.,$788.7,$238.7,30.3%,$550.0,69.7%,2013
Indiana Jones and the Kingdom of the Crystal Skull,90,Par.,$786.6,$317.1,40.3%,$469.5,59.7%,2008
Deadpool 2,91,Fox,$785.0,$324.6,41.3%,$460.5,58.7%,2018^
Spider-Man 2,92,Sony,$783.8,$373.6,47.7%,$410.2,52.3%,2004
Deadpool,93,Fox,$783.1,$363.1,46.4%,$420.0,53.6%,2016
Star Wars,94,Fox,$775.4,$461.0,59.5%,$314.4,40.5%,1977^
Guardians of the Galaxy,95,BV,$773.3,$333.2,43.1%,$440.2,56.9%,2014
2012,96,Sony,$769.7,$166.1,21.6%,$603.6,78.4%,2009
Maleficent,97,BV,$758.5,$241.4,31.8%,$517.1,68.2%,2014
Fast & Furious Presents: Hobbs & Shaw,98,Uni.,$758.4,$173.3,22.9%,$585.1,77.1%,2019
The Da Vinci Code,99,Sony,$758.2,$217.5,28.7%,$540.7,71.3%,2006
The Amazing Spider-Man,100,Sony,$757.9,$262.0,34.6%,$495.9,65.4%,2012
